,Type,Address,District,City,Price (€),Area (sqm.),Year built,Form of ownership
0,Kerrostalo | 2h + k + p,Teekkarinkatu 19 A,Hervanta,Tampere,95 000,"60,5",1978,Omistusasunto
1,"Omakotitalo | 2(3)mh, oh, k, kk, 2xwc, kellari (kph / s + varastotilat)",Jokiväylä 3,Korvanniemi,Rovaniemi,198 000,94,1953,Omistusasunto
2,Omakotitalo | 5 h + k + s + th,Tuomistontie 76,Jakkula,Laihia,48 000,"119,5",1982,Omistusasunto
3,"Kerrostalo | 2h, k, kph, piha",Kotinummenkuja 2,Tapanila,Helsinki,222 000,58,1985,Omistusasunto
4,"Kerrostalo | 1h, kk, kph",Huovitie 3,Haaga,Helsinki,137 000,"20,5",1956,Omistusasunto
5,"Rivitalo | 2h, k, kph, s",Kappelisatamantie 96,Keskusta,Hanko,139 000,66,1990,Omistusasunto
6,Kerrostalo | 3h + k + p,Jukolantie 14,Mattila,Tuusula,75 000,76,1971,Omistusasunto
7,"Omakotitalo | 6 h, 2 k, 2 ph, pkh, wc, vh, kellarikerros",Koivulantie 2,Liuhtari,Lapua,83 500,164,1956,Omistusasunto
8,"Kerrostalo | 2 h, k, s, parveke / terassi",Haarlankatu 9,Onkiniemi,Tampere,269 000,"66,5",2006,Omistusasunto
9,"Kerrostalo | 2h, k, kph, s, p",Hiidenhaudantie 9,Keskusta,Heinola,79 000,53,1984,Omistusasunto
10,Omakotitalo | 4h + k + s + khh + at,Kivipellontie 17,Sundom,Vaasa,119 000,"105,5",1969,Omistusasunto
11,Paritalo | 3h + avok + kph + s + terassi (yht.järj. 2h + k + s + parvitila),Nahkasuutarintie 4,Kurttila,Espoo,439 000,"80,5",2021,Omistusasunto
12,"Kerrostalo | 1h, kt, vh, ph",Teljänkatu 1 b A,Keskusta,Pori,112 500,34,2017,Omistusasunto
13,Omakotitalo | 5h + k + khh + 2wc + s-os + pihasauna,Keskisaarentie 457,Haapajärvi,Lappeenranta,235 000,168,1991,Omistusasunto
14,"Kerrostalo | 3h, k, kph, vh, parv",Liisantie 5,Koskela,Oulu,83 000,70,1969,Omistusasunto
15,Kerrostalo | 2H + KT,Magneettikatu 10,Saunalahti,Espoo,"32 585,03","41,5",2017,Asumisoikeusasunto
16,"Omakotitalo | 8h, k, 2 kph, sauna, khh, 3 wc, varastot, autotalli",Puromäenkatu 25,,Porvoo,675 000,240,2011,Omistusasunto
17,Kerrostalo | 1h + kt + s,Iso Roobertinkatu 28,Punavuori,Helsinki,519 000,56,1937,Omistusasunto
18,Kerrostalo | 2h + kt,Puolikuu 2,Olari,Espoo,232 000,42,2017,Omistusasunto
19,"Omakotitalo | 3mh, oh, k, kph, s, khh",Kaitainsalmentie 2,,Sotkamo,340 000,145,1990,Omistusasunto
20,Omakotitalo | 4h + k + alakerta iso kodinhoitohuone + autotalli + sauna / pesuhuone + kattilahuone,Hiekkatie 4,Kyröskoski,Hämeenkyrö,153 000,122,1959,Omistusasunto
21,"Kerrostalo | 2h, k",Savonkatu 25,Keskusta,Kuopio,165 000,"48,5",1952,Omistusasunto
22,Kerrostalo | 2h + k + parv.,Rusthollarintie 13,Puotila,Helsinki,210 000,"53,2",1961,Omistusasunto
23,"Omakotitalo | 3h, k, s, kph, aula",Pirttiniementie 126,Riistavesi,Kuopio,168 000,113,1946,Omistusasunto
24,Kerrostalo | 2H + KK + parveke,Rekipellontie 14 D,Vesala,Helsinki,139 000,49,1991,Omistusasunto
25,Omakotitalo | oh + 2mh + k + wc + apuk + ph + s + at,Illoistentie 89,Hirvensalo,Turku,178 000,"99,5",1973,Omistusasunto
26,"Omakotitalo | 5h, k, ph / wc, sauna, khh, 2wc, 2vh, eteinen, oleskelutila, autotalli, terassi",Nokitie 4,,Nokia,419 000,174,2022,Omistusasunto
27,Kerrostalo | 3H + K,Kaskenkaatajantie 8,Tapiola,Espoo,357 000,65,1959,Omistusasunto
28,Omakotitalo | 2h + k + kuisti,Rantatie 475,Santtio,Pyhäranta,84 000,72,1930,Omistusasunto
29,"Omakotitalo | 2mh, oh, rt, th, kph, s, 2 wc",Ruonankuja 8,Ruonala,Kotka,179 000,143,1939,Omistusasunto
30,"Kerrostalo | 2h, k, kh, parv",Meripuistokatu 15 B,Sauvosaari,Kemi,52 000,"51,5",1960,Omistusasunto
31,"Omakotitalo | 5h, k, kph, s, var.",Harvakorventie 15,Ojalanmäki,Forssa,98 000,119,1971,Omistusasunto
32,Kerrostalo,Karitie 12 A 5,Kotiranta,Vaasa,"22 491,30","73,5",2000,Asumisoikeusasunto
33,"Omakotitalo | 3mh, oh, k, ph, kph, s, at",Uitintie 21,Nilsiä,Kuopio,118 000,103,1975,Omistusasunto
34,"Kerrostalo | 3h, kt, s",Kirjastonkatu 8 A,Keskusta,Vaasa,245 000,59,2017,Omistusasunto
35,Kerrostalo | 1h + k + p,Puutarhakatu 19 b B,Keskusta,Turku,139 000,32,1984,Omistusasunto
36,"Omakotitalo | 5h, k, tk, kph, s, uima-allas + autotalli",Niittomiehentie 13,Tuomarila,Espoo,295 000,143,1982,Omistusasunto
37,"Kerrostalo | 2h, k, kph / wc, vh, et, las.parveke",Länsitie 15 A,Uramo,Riihimäki,69 000,57,1974,Omistusasunto
38,"Omakotitalo | 4h, k, kh, s",Äänekoskentie 790,Paatela,Äänekoski,335 000,136,2001,Omistusasunto
39,Kerrostalo | 2h + k + kh / wc + vh,Hanhitie 16,Höyhtyä,Oulu,55 700,56,1963,Omistusasunto
40,"Kerrostalo | 3h, k, kph",Pääskysentie 2a A,Metsola,Kotka,82 000,"66,5",1964,Omistusasunto
41,"Kerrostalo | 1h, tpk, s, lasitettu parveke",Kirkkokatu 19 c,Keskusta,Lahti,179 600,40,2013,Omistusasunto
42,"Omakotitalo | 4h, tk, th, wc, kph",Kiekerökatu 14,Keskusta,Kemijärvi,105 000,"113,8",1981,Omistusasunto
43,"Rivitalo | 2h, kk, s",Jouhenniementie 3 A,Kerimäki,Savonlinna,43 000,48,1984,Omistusasunto
44,"Kerrostalo | 2h, k, kph, p",Spinellikuja 9,Kivistö,Vantaa,189 000,"38,5",2019,Omistusasunto
45,Kerrostalo | 2h + k + parveke,Wallininkuja 6,Kallio,Helsinki,365 000,"55,5",1968,Omistusasunto
46,"Kerrostalo | 4h, k, parveke",Vanajantie 1,Kantola,Hämeenlinna,89 000,"88,7",1960,Omistusasunto
